"experiment","n","k","rep","method","time","detected"
"vary_n",319,0,18,"SVP BIC multiscale",0.00199999999999978,1
"vary_n",319,0,19,"PELT",0.00100000000000033,1
"vary_n",319,0,19,"SVP BIC",0,1
"vary_n",319,0,19,"SVP BIC calibrated",0,1
"vary_n",319,0,19,"SVP BIC multiscale",0.00199999999999978,1
"vary_n",319,0,20,"PELT",0.00100000000000033,1
"vary_n",319,0,20,"SVP BIC",0,1
"vary_n",319,0,20,"SVP BIC calibrated",0.00199999999999978,2
"vary_n",319,0,20,"SVP BIC multiscale",0.00200000000000067,1
"vary_n",397,0,1,"PELT",0.00100000000000033,1
"vary_n",397,0,1,"SVP BIC",0,1
"vary_n",397,0,1,"SVP BIC calibrated",0,1
"vary_n",397,0,1,"SVP BIC multiscale",0.00199999999999978,1
"vary_n",397,0,2,"PELT",0,1
"vary_n",397,0,2,"SVP BIC",0,1
"vary_n",397,0,2,"SVP BIC calibrated",0.00100000000000033,1
"vary_n",397,0,2,"SVP BIC multiscale",0.00300000000000011,1
"vary_n",397,0,3,"PELT",0,1
"vary_n",397,0,3,"SVP BIC",0.00100000000000033,1
"vary_n",397,0,3,"SVP BIC calibrated",0.00100000000000033,1
"vary_n",397,0,3,"SVP BIC multiscale",0.00299999999999923,1
"vary_n",397,0,4,"PELT",0.000999999999999446,1
"vary_n",397,0,4,"SVP BIC",0,1
"vary_n",397,0,4,"SVP BIC calibrated",0,1
"vary_n",397,0,4,"SVP BIC multiscale",0.00300000000000011,1
"vary_n",397,0,5,"PELT",0.00100000000000033,1
"vary_n",397,0,5,"SVP BIC",0,1
"vary_n",397,0,5,"SVP BIC calibrated",0,1
"vary_n",397,0,5,"SVP BIC multiscale",0.00300000000000011,1
"vary_n",397,0,6,"PELT",0,1
"vary_n",397,0,6,"SVP BIC",0,1
"vary_n",397,0,6,"SVP BIC calibrated",0,1
"vary_n",397,0,6,"SVP BIC multiscale",0.00200000000000067,2
"vary_n",397,0,7,"PELT",0,1
"vary_n",397,0,7,"SVP BIC",0,1
"vary_n",397,0,7,"SVP BIC calibrated",0.000999999999999446,1
"vary_n",397,0,7,"SVP BIC multiscale",0.00300000000000011,1
"vary_n",397,0,8,"PELT",0.000999999999999446,1
"vary_n",397,0,8,"SVP BIC",0,1
"vary_n",397,0,8,"SVP BIC calibrated",0,1
"vary_n",397,0,8,"SVP BIC multiscale",0.00300000000000011,1
"vary_n",397,0,9,"PELT",0.00100000000000033,1
"vary_n",397,0,9,"SVP BIC",0,1
"vary_n",397,0,9,"SVP BIC calibrated",0,1
"vary_n",397,0,9,"SVP BIC multiscale",0.00300000000000011,1
"vary_n",397,0,10,"PELT",0.000999999999999446,1
"vary_n",397,0,10,"SVP BIC",0,1
"vary_n",397,0,10,"SVP BIC calibrated",0,1
"vary_n",397,0,10,"SVP BIC multiscale",0.00299999999999923,1
"vary_n",397,0,11,"PELT",0,1
"vary_n",397,0,11,"SVP BIC",0,1
"vary_n",397,0,11,"SVP BIC calibrated",0,1
"vary_n",397,0,11,"SVP BIC multiscale",0.00300000000000011,1
"vary_n",397,0,12,"PELT",0.000999999999999446,1
"vary_n",397,0,12,"SVP BIC",0,1
"vary_n",397,0,12,"SVP BIC calibrated",0.00100000000000033,1
"vary_n",397,0,12,"SVP BIC multiscale",0.00300000000000011,1
"vary_n",397,0,13,"PELT",0.00100000000000033,1
"vary_n",397,0,13,"SVP BIC",0,1
"vary_n",397,0,13,"SVP BIC calibrated",0,1
"vary_n",397,0,13,"SVP BIC multiscale",0.00300000000000011,1
"vary_n",397,0,14,"PELT",0.00100000000000033,1
"vary_n",397,0,14,"SVP BIC",0,1
"vary_n",397,0,14,"SVP BIC calibrated",0,1
"vary_n",397,0,14,"SVP BIC multiscale",0.00300000000000011,1
"vary_n",397,0,15,"PELT",0.00100000000000033,1
"vary_n",397,0,15,"SVP BIC",0,1
"vary_n",397,0,15,"SVP BIC calibrated",0,1
"vary_n",397,0,15,"SVP BIC multiscale",0.00300000000000011,1
"vary_n",397,0,16,"PELT",0.00100000000000033,1
"vary_n",397,0,16,"SVP BIC",0,1
"vary_n",397,0,16,"SVP BIC calibrated",0,1
"vary_n",397,0,16,"SVP BIC multiscale",0.00300000000000011,1
"vary_n",397,0,17,"PELT",0.00100000000000033,1
"vary_n",397,0,17,"SVP BIC",0,1
"vary_n",397,0,17,"SVP BIC calibrated",0,1
"vary_n",397,0,17,"SVP BIC multiscale",0.00300000000000011,1
"vary_n",397,0,18,"PELT",0.000999999999999446,1
"vary_n",397,0,18,"SVP BIC",0,1
"vary_n",397,0,18,"SVP BIC calibrated",0,1
"vary_n",397,0,18,"SVP BIC multiscale",0.00199999999999978,1
"vary_n",397,0,19,"PELT",0,1
"vary_n",397,0,19,"SVP BIC",0,1
"vary_n",397,0,19,"SVP BIC calibrated",0,1
"vary_n",397,0,19,"SVP BIC multiscale",0.00300000000000011,1
"vary_n",397,0,20,"PELT",0.00100000000000033,1
"vary_n",397,0,20,"SVP BIC",0,1
"vary_n",397,0,20,"SVP BIC calibrated",0,1
"vary_n",397,0,20,"SVP BIC multiscale",0.00200000000000067,2
"vary_n",494,0,1,"PELT",0.00100000000000033,1
"vary_n",494,0,1,"SVP BIC",0.000999999999999446,1
"vary_n",494,0,1,"SVP BIC calibrated",0,1
"vary_n",494,0,1,"SVP BIC multiscale",0.00399999999999956,1
"vary_n",494,0,2,"PELT",0.000999999999999446,1
"vary_n",494,0,2,"SVP BIC",0,1
"vary_n",494,0,2,"SVP BIC calibrated",0,1
"vary_n",494,0,2,"SVP BIC multiscale",0.00399999999999956,1
"vary_n",494,0,3,"PELT",0.000999999999999446,1
"vary_n",494,0,3,"SVP BIC",0,1
"vary_n",494,0,3,"SVP BIC calibrated",0,1
"vary_n",494,0,3,"SVP BIC multiscale",0.00399999999999956,1
"vary_n",494,0,4,"PELT",0.000999999999999446,1
"vary_n",494,0,4,"SVP BIC",0,1
"vary_n",494,0,4,"SVP BIC calibrated",0,1
"vary_n",494,0,4,"SVP BIC multiscale",0.00400000000000134,1
"vary_n",494,0,5,"PELT",0.000999999999999446,1
"vary_n",494,0,5,"SVP BIC",0,1
"vary_n",494,0,5,"SVP BIC calibrated",0,1
"vary_n",494,0,5,"SVP BIC multiscale",0.00400000000000134,1
"vary_n",494,0,6,"PELT",0.000999999999999446,1
"vary_n",494,0,6,"SVP BIC",0,1
"vary_n",494,0,6,"SVP BIC calibrated",0,1
"vary_n",494,0,6,"SVP BIC multiscale",0.00399999999999956,1
"vary_n",494,0,7,"PELT",0.000999999999999446,1
"vary_n",494,0,7,"SVP BIC",0,1
"vary_n",494,0,7,"SVP BIC calibrated",0.00399999999999956,2
"vary_n",494,0,7,"SVP BIC multiscale",0.00399999999999956,1
"vary_n",494,0,8,"PELT",0.000999999999999446,1
"vary_n",494,0,8,"SVP BIC",0,1
"vary_n",494,0,8,"SVP BIC calibrated",0,1
"vary_n",494,0,8,"SVP BIC multiscale",0.00399999999999956,1
"vary_n",494,0,9,"PELT",0,1
"vary_n",494,0,9,"SVP BIC",0,1
"vary_n",494,0,9,"SVP BIC calibrated",0,1
"vary_n",494,0,9,"SVP BIC multiscale",0.00500000000000078,1
"vary_n",494,0,10,"PELT",0,1
"vary_n",494,0,10,"SVP BIC",0,1
"vary_n",494,0,10,"SVP BIC calibrated",0.00100000000000122,1
"vary_n",494,0,10,"SVP BIC multiscale",0.00399999999999956,1
"vary_n",494,0,11,"PELT",0.000999999999999446,1
"vary_n",494,0,11,"SVP BIC",0,1
"vary_n",494,0,11,"SVP BIC calibrated",0,1
"vary_n",494,0,11,"SVP BIC multiscale",0.00399999999999956,1
"vary_n",494,0,12,"PELT",0,1
"vary_n",494,0,12,"SVP BIC",0.00100000000000122,1
"vary_n",494,0,12,"SVP BIC calibrated",0,1
"vary_n",494,0,12,"SVP BIC multiscale",0.00399999999999956,1
"vary_n",494,0,13,"PELT",0.00100000000000122,1
"vary_n",494,0,13,"SVP BIC",0,1
"vary_n",494,0,13,"SVP BIC calibrated",0,1
"vary_n",494,0,13,"SVP BIC multiscale",0.00399999999999956,1
"vary_n",494,0,14,"PELT",0,1
"vary_n",494,0,14,"SVP BIC",0,1
"vary_n",494,0,14,"SVP BIC calibrated",0,1
"vary_n",494,0,14,"SVP BIC multiscale",0.00500000000000078,1
"vary_n",494,0,15,"PELT",0.000999999999999446,1
"vary_n",494,0,15,"SVP BIC",0,1
"vary_n",494,0,15,"SVP BIC calibrated",0,1
"vary_n",494,0,15,"SVP BIC multiscale",0.00500000000000078,1
"vary_n",494,0,16,"PELT",0.000999999999999446,1
"vary_n",494,0,16,"SVP BIC",0,1
"vary_n",494,0,16,"SVP BIC calibrated",0,1
"vary_n",494,0,16,"SVP BIC multiscale",0.00399999999999956,1
"vary_n",494,0,17,"PELT",0.00100000000000122,1
"vary_n",494,0,17,"SVP BIC",0,1
"vary_n",494,0,17,"SVP BIC calibrated",0.00100000000000122,1
"vary_n",494,0,17,"SVP BIC multiscale",0.00500000000000078,1
"vary_n",494,0,18,"PELT",0,1
"vary_n",494,0,18,"SVP BIC",0,1
"vary_n",494,0,18,"SVP BIC calibrated",0,1
"vary_n",494,0,18,"SVP BIC multiscale",0.00500000000000078,1
"vary_n",494,0,19,"PELT",0.00100000000000122,1
"vary_n",494,0,19,"SVP BIC",0,1
"vary_n",494,0,19,"SVP BIC calibrated",0,1
"vary_n",494,0,19,"SVP BIC multiscale",0.004999999999999,1
"vary_n",494,0,20,"PELT",0.00100000000000122,1
"vary_n",494,0,20,"SVP BIC",0,1
"vary_n",494,0,20,"SVP BIC calibrated",0,1
"vary_n",494,0,20,"SVP BIC multiscale",0.00399999999999956,1
"vary_n",614,0,1,"PELT",0.000999999999999446,1
"vary_n",614,0,1,"SVP BIC",0,1
"vary_n",614,0,1,"SVP BIC calibrated",0.00399999999999956,2
"vary_n",614,0,1,"SVP BIC multiscale",0.00699999999999967,1
"vary_n",614,0,2,"PELT",0,1
"vary_n",614,0,2,"SVP BIC",0,1
"vary_n",614,0,2,"SVP BIC calibrated",0,1
"vary_n",614,0,2,"SVP BIC multiscale",0.00600000000000023,1
"vary_n",614,0,3,"PELT",0.00100000000000122,1
"vary_n",614,0,3,"SVP BIC",0,1
"vary_n",614,0,3,"SVP BIC calibrated",0,1
"vary_n",614,0,3,"SVP BIC multiscale",0.00700000000000145,1
"vary_n",614,0,4,"PELT",0.000999999999999446,1
"vary_n",614,0,4,"SVP BIC",0,1
"vary_n",614,0,4,"SVP BIC calibrated",0,1
"vary_n",614,0,4,"SVP BIC multiscale",0.00700000000000145,1
"vary_n",614,0,5,"PELT",0.000999999999999446,1
"vary_n",614,0,5,"SVP BIC",0,1
"vary_n",614,0,5,"SVP BIC calibrated",0,1
"vary_n",614,0,5,"SVP BIC multiscale",0.00699999999999967,1
"vary_n",614,0,6,"PELT",0.000999999999999446,1
"vary_n",614,0,6,"SVP BIC",0,1
"vary_n",614,0,6,"SVP BIC calibrated",0.000999999999999446,1
"vary_n",614,0,6,"SVP BIC multiscale",0.00600000000000023,1
"vary_n",614,0,7,"PELT",0.000999999999999446,1
"vary_n",614,0,7,"SVP BIC",0,1
"vary_n",614,0,7,"SVP BIC calibrated",0,1
"vary_n",614,0,7,"SVP BIC multiscale",0.00600000000000023,1
"vary_n",614,0,8,"PELT",0.00100000000000122,1
"vary_n",614,0,8,"SVP BIC",0,1
"vary_n",614,0,8,"SVP BIC calibrated",0,1
"vary_n",614,0,8,"SVP BIC multiscale",0.00699999999999967,1
"vary_n",614,0,9,"PELT",0.00100000000000122,1
"vary_n",614,0,9,"SVP BIC",0,1
"vary_n",614,0,9,"SVP BIC calibrated",0,1
"vary_n",614,0,9,"SVP BIC multiscale",0.00600000000000023,1
"vary_n",614,0,10,"PELT",0.00100000000000122,1
"vary_n",614,0,10,"SVP BIC",0,1
"vary_n",614,0,10,"SVP BIC calibrated",0,1
"vary_n",614,0,10,"SVP BIC multiscale",0.00699999999999967,1
"vary_n",614,0,11,"PELT",0.000999999999999446,1
"vary_n",614,0,11,"SVP BIC",0,1
"vary_n",614,0,11,"SVP BIC calibrated",0.000999999999999446,1
"vary_n",614,0,11,"SVP BIC multiscale",0.00600000000000023,1
"vary_n",614,0,12,"PELT",0.000999999999999446,1
"vary_n",614,0,12,"SVP BIC",0,1
"vary_n",614,0,12,"SVP BIC calibrated",0,1
"vary_n",614,0,12,"SVP BIC multiscale",0.00600000000000023,1
"vary_n",614,0,13,"PELT",0.00100000000000122,1
"vary_n",614,0,13,"SVP BIC",0,1
"vary_n",614,0,13,"SVP BIC calibrated",0,1
"vary_n",614,0,13,"SVP BIC multiscale",0.00600000000000023,1
"vary_n",614,0,14,"PELT",0.00100000000000122,1
"vary_n",614,0,14,"SVP BIC",0.000999999999999446,1
"vary_n",614,0,14,"SVP BIC calibrated",0,1
"vary_n",614,0,14,"SVP BIC multiscale",0.00600000000000023,1
"vary_n",614,0,15,"PELT",0.000999999999999446,1
"vary_n",614,0,15,"SVP BIC",0,1
"vary_n",614,0,15,"SVP BIC calibrated",0,1
"vary_n",614,0,15,"SVP BIC multiscale",0.00600000000000023,1
"vary_n",614,0,16,"PELT",0,1
"vary_n",614,0,16,"SVP BIC",0,1
"vary_n",614,0,16,"SVP BIC calibrated",0.00399999999999956,2
"vary_n",614,0,16,"SVP BIC multiscale",0.00700000000000145,1
"vary_n",614,0,17,"PELT",0.000999999999999446,1
"vary_n",614,0,17,"SVP BIC",0,1
"vary_n",614,0,17,"SVP BIC calibrated",0,1
"vary_n",614,0,17,"SVP BIC multiscale",0.00699999999999967,1
"vary_n",614,0,18,"PELT",0.000999999999999446,1
"vary_n",614,0,18,"SVP BIC",0,1
"vary_n",614,0,18,"SVP BIC calibrated",0,1
"vary_n",614,0,18,"SVP BIC multiscale",0.00600000000000023,1
"vary_n",614,0,19,"PELT",0.000999999999999446,1
"vary_n",614,0,19,"SVP BIC",0,1
"vary_n",614,0,19,"SVP BIC calibrated",0,1
"vary_n",614,0,19,"SVP BIC multiscale",0.00700000000000145,1
"vary_n",614,0,20,"PELT",0.000999999999999446,1
"vary_n",614,0,20,"SVP BIC",0,1
"vary_n",614,0,20,"SVP BIC calibrated",0,1
"vary_n",614,0,20,"SVP BIC multiscale",0.00699999999999967,1
"vary_n",765,0,1,"PELT",0.00100000000000122,1
"vary_n",765,0,1,"SVP BIC",0,1
"vary_n",765,0,1,"SVP BIC calibrated",0,1
"vary_n",765,0,1,"SVP BIC multiscale",0.0109999999999992,1
"vary_n",765,0,2,"PELT",0.00100000000000122,1
"vary_n",765,0,2,"SVP BIC",0,1
"vary_n",765,0,2,"SVP BIC calibrated",0,1
"vary_n",765,0,2,"SVP BIC multiscale",0.00999999999999979,1
"vary_n",765,0,3,"PELT",0.000999999999999446,1
"vary_n",765,0,3,"SVP BIC",0,1
"vary_n",765,0,3,"SVP BIC calibrated",0,1
"vary_n",765,0,3,"SVP BIC multiscale",0.00999999999999979,1
"vary_n",765,0,4,"PELT",0.000999999999999446,1
"vary_n",765,0,4,"SVP BIC",0,1
"vary_n",765,0,4,"SVP BIC calibrated",0,1
"vary_n",765,0,4,"SVP BIC multiscale",0.00999999999999979,1
"vary_n",765,0,5,"PELT",0.000999999999999446,1
"vary_n",765,0,5,"SVP BIC",0,1
"vary_n",765,0,5,"SVP BIC calibrated",0,1
"vary_n",765,0,5,"SVP BIC multiscale",0.00999999999999979,1
"vary_n",765,0,6,"PELT",0.000999999999999446,1
"vary_n",765,0,6,"SVP BIC",0,1
"vary_n",765,0,6,"SVP BIC calibrated",0,1
"vary_n",765,0,6,"SVP BIC multiscale",0.011000000000001,1
"vary_n",765,0,7,"PELT",0.00100000000000122,1
"vary_n",765,0,7,"SVP BIC",0,1
"vary_n",765,0,7,"SVP BIC calibrated",0,1
"vary_n",765,0,7,"SVP BIC multiscale",0.00999999999999979,1
"vary_n",765,0,8,"PELT",0.000999999999999446,1
"vary_n",765,0,8,"SVP BIC",0,1
"vary_n",765,0,8,"SVP BIC calibrated",0,1
"vary_n",765,0,8,"SVP BIC multiscale",0.00999999999999979,1
"vary_n",765,0,9,"PELT",0.00100000000000122,1
"vary_n",765,0,9,"SVP BIC",0,1
"vary_n",765,0,9,"SVP BIC calibrated",0,1
"vary_n",765,0,9,"SVP BIC multiscale",0.00999999999999979,1
"vary_n",765,0,10,"PELT",0.00100000000000122,1
"vary_n",765,0,10,"SVP BIC",0,1
"vary_n",765,0,10,"SVP BIC calibrated",0.00100000000000122,1
"vary_n",765,0,10,"SVP BIC multiscale",0.00999999999999979,1
"vary_n",765,0,11,"PELT",0.00100000000000122,1
"vary_n",765,0,11,"SVP BIC",0,1
"vary_n",765,0,11,"SVP BIC calibrated",0.0080000000000009,2
"vary_n",765,0,11,"SVP BIC multiscale",0.00999999999999979,1
"vary_n",765,0,12,"PELT",0.00100000000000122,1
"vary_n",765,0,12,"SVP BIC",0,1
"vary_n",765,0,12,"SVP BIC calibrated",0.000999999999999446,1
"vary_n",765,0,12,"SVP BIC multiscale",0.00999999999999979,1
"vary_n",765,0,13,"PELT",0.00100000000000122,1
"vary_n",765,0,13,"SVP BIC",0,1
"vary_n",765,0,13,"SVP BIC calibrated",0,1
"vary_n",765,0,13,"SVP BIC multiscale",0.011000000000001,1
"vary_n",765,0,14,"PELT",0.000999999999999446,1
"vary_n",765,0,14,"SVP BIC",0,1
"vary_n",765,0,14,"SVP BIC calibrated",0,1
"vary_n",765,0,14,"SVP BIC multiscale",0.00999999999999979,1
"vary_n",765,0,15,"PELT",0.00100000000000122,1
"vary_n",765,0,15,"SVP BIC",0,1
"vary_n",765,0,15,"SVP BIC calibrated",0,1
"vary_n",765,0,15,"SVP BIC multiscale",0.00999999999999979,1
"vary_n",765,0,16,"PELT",0.00100000000000122,1
"vary_n",765,0,16,"SVP BIC",0,1
"vary_n",765,0,16,"SVP BIC calibrated",0,1
"vary_n",765,0,16,"SVP BIC multiscale",0.00999999999999979,1
"vary_n",765,0,17,"PELT",0.000999999999999446,1
"vary_n",765,0,17,"SVP BIC",0,1
"vary_n",765,0,17,"SVP BIC calibrated",0,1
"vary_n",765,0,17,"SVP BIC multiscale",0.0109999999999992,1
"vary_n",765,0,18,"PELT",0.000999999999999446,1
"vary_n",765,0,18,"SVP BIC",0,1
"vary_n",765,0,18,"SVP BIC calibrated",0.000999999999999446,1
"vary_n",765,0,18,"SVP BIC multiscale",0.0109999999999992,1
"vary_n",765,0,19,"PELT",0.00100000000000122,1
"vary_n",765,0,19,"SVP BIC",0,1
"vary_n",765,0,19,"SVP BIC calibrated",0,1
"vary_n",765,0,19,"SVP BIC multiscale",0.00999999999999979,1
"vary_n",765,0,20,"PELT",0.000999999999999446,1
"vary_n",765,0,20,"SVP BIC",0,1
"vary_n",765,0,20,"SVP BIC calibrated",0,1
"vary_n",765,0,20,"SVP BIC multiscale",0.00999999999999979,1
"vary_n",952,0,1,"PELT",0,1
"vary_n",952,0,1,"SVP BIC",0,1
"vary_n",952,0,1,"SVP BIC calibrated",0,1
"vary_n",952,0,1,"SVP BIC multiscale",0.0120000000000005,2
"vary_n",952,0,2,"PELT",0.000999999999999446,1
"vary_n",952,0,2,"SVP BIC",0,1
"vary_n",952,0,2,"SVP BIC calibrated",0,1
"vary_n",952,0,2,"SVP BIC multiscale",0.016,1
